BibTeX_Key	Title	Year	Category	Venue	Entry_Type	Authors	DOI	URL	Code
lu2026agentic	Agentic graph neural networks for wireless communications and networking towards edge general intelligence: A survey	2026	Graph-Agent-LLM / Agentic AI	IEEE Communications Surveys & Tutorials	article	Lu, Yang; Zhang, Shengli; Liu, Chang; Zhang, Ruichen; Ai, Bo; et al.			
zheng2026agentvne	AgentVNE: LLM-Augmented Graph Reinforcement Learning for Affinity-Aware Multi-Agent Placement in Edge Agentic AI	2026	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2601.02021	article	Zheng, Runze; Zheng, Yuqing; Cheng, Zhengyi; Luo, Long; Luo, Haoxiang; et al.			
xu2026automated	Automated carbon-aware assessment of openBIM-based ductwork design using knowledge graphâ€“augmented LLM multi-agent framework	2026	Graph-Agent-LLM / Agentic AI	Automation in Construction	article	Xu, Yuqing; Li, Ang; Guo, Xiaowen; Chan, Jeff CF; Gong, Xingbo; et al.			
yang2026graph	Graph-based Agent Memory: Taxonomy, Techniques, and Applications	2026	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2602.05665	article	Yang, Chang; Zhou, Chuang; Xiao, Yilin; Dong, Su; Zhuang, Luyao; et al.			
stewart2026graphagents	GraphAgents: Knowledge Graph-Guided Agentic AI for Cross-Domain Materials Design	2026	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2602.07491	article	Stewart, Isabella A; Hage, Tarjei Paule; Hsu, Yu-Chuan; Buehler, Markus J			
jiang2026magma	MAGMA: A Multi-Graph based Agentic Memory Architecture for AI Agents	2026	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2601.03236	article	Jiang, Dongming; Li, Yi; Li, Guanpeng; Li, Bingzhe			
liu2025agenticmath	AgenticMath: Enhancing LLM Reasoning via Agentic-based Math Data Generation	2025	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2510.19361	article	Liu, Xianyang; Liu, Yilin; Wang, Shuai; Cheng, Hao; Estornell, Andrew; et al.			
zhao2025agree	AgREE: Agentic Reasoning for Knowledge Graph Completion on Emerging Entities	2025	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2508.04118	article	Zhao, Ruochen; Conia, Simone; Peng, Eric; Li, Min; Potdar, Saloni			
xia2025experience	From experience to strategy: Empowering llm agents with trainable graph memory	2025	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2511.07800	article	Xia, Siyu; Xu, Zekun; Chai, Jiajun; Fan, Wentian; Song, Yan; et al.			
chang2025graph	Graph-S3: Enhancing Agentic textual Graph Retrieval with Synthetic Stepwise Supervision	2025	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2510.03323	article	Chang, Ge; Su, Jinbo; Liu, Jiacheng; Yang, Pengfei; Shang, Yuhao; et al.			
ji2025lafa	LAFA: Agentic LLM-Driven Federated Analytics over Decentralized Data Sources	2025	Graph-Agent-LLM / Agentic AI	2025 lEEE International Conference on Cloud Computing Technology and Science (CloudCom)	inproceedings	Ji, Haichao; Wang, Zibo; Pan, Cheng; Han, Meng; Zhu, Yifei; et al.			
guo2025reagan	ReaGAN: Node-as-Agent-Reasoning Graph Agentic Network	2025	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2508.00429	article	Guo, Minghao; Zhu, Xi; Xue, Haochen; Zhang, Chong; Lin, Shuhang; et al.			
dong2025s	S-DAG: A Subject-Based Directed Acyclic Graph for Multi-Agent Heterogeneous Reasoning	2025	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2511.06727	article	Dong, Jiangwen; Lin, Zehui; Lin, Wanyu; Zhang, Mingjin			
zhang2025llm	When LLM Agents Meet Graph Optimization: An Automated Data Quality Improvement Approach	2025	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2510.08952	article	Zhang, Zhihan; Li, Xunkai; Zuo, Yilong; Wen, Yanzhe; Fan, Zhaoxin; et al.			
chen2025x	X-GridAgent: An LLM-Powered Agentic AI System for Assisting Power Grid Analysis	2025	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2512.20789	article	Chen, Xin; others			
RKLY24	A Logic of Actual Cause for Non-Deterministic Dynamic Domains	2024	Graph-Agent-LLM / Agentic AI	Working Notes of the 21st European Conference on Multi-Agent Systems, August 26-28th, 2024, Dublin, Ireland	inproceedings	Maryam Rostamigiv; Shakil M. Khan; Yves Lesperance; Mriana Yadkoo			
anokhin2024arigraph	Arigraph: Learning knowledge graph world models with episodic memory for llm agents	2024	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2407.04363	article	Anokhin, Petr; Semenov, Nikita; Sorokin, Artyom; Evseev, Dmitry; Kravchenko, Andrey; et al.			
xu2024generate	Generate-on-graph: Treat llm as both agent and kg in incomplete knowledge graph question answering	2024	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2404.14741	article	Xu, Yao; He, Shizhu; Chen, Jiabei; Wang, Zihao; Song, Yangqiu; et al.			
hu2024scenecraft	Scenecraft: An llm agent for synthesizing 3d scenes as blender code	2024	Graph-Agent-LLM / Agentic AI	Forty-first International Conference on Machine Learning	inproceedings	Hu, Ziniu; Iscen, Ahmet; Jain, Aashi; Kipf, Thomas; Yue, Yisong; et al.			
Qin2023ToolLearning	Tool Learning with Foundation Models	2024	Graph-Agent-LLM / Agentic AI	ACM Comput. Surv.	article	Qin, Yujia; Hu, Shengding; Lin, Yankai; Chen, Weize; Ding, Ning; et al.	10.1145/3704435	https://doi.org/10.1145/3704435	
Wang2024Voyager	Voyager: An Open-Ended Embodied Agent with Large Language Models	2024	Graph-Agent-LLM / Agentic AI	Transactions on Machine Learning Research (TMLR)	article	Guanzhi Wang; Yuqi Xie; Yunfan Jiang; Ajay Mandlekar; Chaowei Xiao; et al.			
wu2023autogenenablingnextgenllm	AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation	2023	Graph-Agent-LLM / Agentic AI		misc	Qingyun Wu; Gagan Bansal; Jieyu Zhang; Yiran Wu; Beibin Li; et al.		https://arxiv.org/abs/2308.08155	
park2023generativeagents	Generative Agents: Interactive Simulacra of Human Behavior	2023	Graph-Agent-LLM / Agentic AI	Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology	inproceedings	Park, Joon Sung; O'Brien, Joseph C.; Cai, Carrie J.; Morris, Meredith Ringel; Liang, Percy; et al.			
KhanR23	On Explaining Agent Behaviour via Root Cause Analysis: A Formal Account Grounded in Theory of Mind	2023	Graph-Agent-LLM / Agentic AI	Proceedings of the 26th European Conference on Artificial Intelligence ECAI, 30.09 - 5.10, 2023, Krakow, Poland	inproceedings	Shakil M. Khan; Maryam Rostamigiv			
Shakil2023	On Explaining Agent Behaviour via Root Cause Analysis: A Formal Account Grounded in Theory of Mind	2023	Graph-Agent-LLM / Agentic AI	26th European Conference on Artificial Intelligence ECAI 2023, KrakÃ³w, Poland	article	Shakil M. Khan; Maryam Rostamigiv			
KR23	On Explaining Agent Behaviour via Root Cause Analysis: A Formal Account Grounded in Theory of Mind	2023	Graph-Agent-LLM / Agentic AI	ECAI 2023 - 26th European Conference on Artificial Intelligence, September 30 - October 4, 2023, Krakow, Poland	inproceedings	Shakil M. Khan; Maryam Rostamigiv			
shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	2023	Graph-Agent-LLM / Agentic AI	Advances in Neural Information Processing Systems	inproceedings	Shinn, Noah; Cassano, Federico; Berman, Edward; Gopinath, Ashwin; Narasimhan, Karthik; et al.			
DennisO22	Explaining BDI agent behaviour through dialogue	2022	Graph-Agent-LLM / Agentic AI	Auton. Agents Multi Agent Syst.	article	Louise A. Dennis; Nir Oren			
Costantini1	An Epistemic Logic for Multi-agent Systems with Budget and Costs	2021	Graph-Agent-LLM / Agentic AI	European Conference on Logics in Artificial Intelligence.	article	Stefania Costantini, Andrea Formisano,; Valentina Pitoni			
KL21	Knowing Why - On the Dynamics of Knowledge about Actual Causes in the Situation Calculus	2021	Graph-Agent-LLM / Agentic AI	AAMAS `21: 20th International Conference on Autonomous Agents and Multiagent Systems, Virtual Event, United Kingdom, May 3-7, 2021	inproceedings	Shakil M. Khan; Yves Lesperance			
Shakil2021	Knowing why - on the dynamics of knowledge about actual causes in the situation calculus	2021	Graph-Agent-LLM / Agentic AI	in AAMAS â€™21: 20th International Conference on Autonomous Agents and Multiagent Systems, Virtual Event, United Kingdom, May 3-7, 2021, eds., Frank Dignum, Alessio Lomuscio, Ulle Endriss, and Ann NowÃ©,	article	Shakil M. Khan; Yves LespÃ©rance			
ShvoMcI20	Towards the Role of Theory of Mind in Explanation	2020	Graph-Agent-LLM / Agentic AI	Explainable, Transparent Autonomous Agents and Multi-Agent Systems - Second International Workshop, EXTRAAMAS 2020, Auckland, New Zealand, May 9-13, 2020, Revised Selected Papers	inproceedings	Maayan Shvo; Toryn Q. Klassen; Sheila A. McIlraith			
AlechinaHL17	Causality, Responsibility and Blame in Team Plans	2017	Graph-Agent-LLM / Agentic AI	Proceedings of the 16th Conference on Autonomous Agents and MultiAgent Systems, AAMAS	inproceedings	Natasha Alechina; Joseph Y. Halpern; Brian Logan			
KL10	A logical framework for prioritized goal change	2010	Graph-Agent-LLM / Agentic AI	9th International Conference on Autonomous Agents and Multiagent Systems (AAMAS 2010), Toronto, Canada, May 10-14, 2010, Volume 1-3	inproceedings	Shakil M. Khan; Yves Lesperance			
KhanL10	A Logical Framework for Prioritized Goal Change	2010	Graph-Agent-LLM / Agentic AI	9th International Conference on Autonomous Agents and Multiagent Systems (AAMAS 2010), Toronto, Canada, May 10-14, 2010, Volume 1-3	inproceedings	Shakil M. Khan; Yves Lesperance			
KhanL05	ECASL: A Model of Rational Agency for Communicating Agents	2005	Graph-Agent-LLM / Agentic AI	4th International Joint Conference on Autonomous Agents and Multiagent Systems (AAMAS 2005), July 25-29, 2005, Utrecht, The Netherlands	inproceedings	Shakil M. Khan; Yves Lesperance			
KL05	ECASL: a model of rational agency for communicating agents	2005	Graph-Agent-LLM / Agentic AI	4th International Joint Conference on Autonomous Agents and Multiagent Systems (AAMAS 2005), July 25-29, 2005, Utrecht, The Netherlands	inproceedings	Shakil M. Khan; Yves Lesperance			
Shakil2005	ECASL: a model of rational agency for communicating agents	2005	Graph-Agent-LLM / Agentic AI	in 4th International Joint Conference on Autonomous Agents and Multiagent Systems (AAMAS 2005), July 25-29, 2005, Utrecht, The Netherlands, eds., Frank Dignum, Virginia Dignum, Sven Koenig, Sarit Kraus, Munindar P. Singh, and Michael J. Wooldridge	article	Shakil M. Khan; Yves LespÃ©rance			
Shapiro05	Specifying and Verifying Multiagent Systems Using CASL	2005	Graph-Agent-LLM / Agentic AI	Dept. of Computer Science, Univ. of Toronto	phdthesis	Steven Shapiro			
Lesperance03	On the Epistemic Feasibility of Plans in Multiagent Systems Specifications	2003	Graph-Agent-LLM / Agentic AI	Logic Journal of the IGPL	article	Yves Lesperance			
Les02	On the Epistemic Feasibility of Plans in Multiagent Systems Specifications	2002	Graph-Agent-LLM / Agentic AI	Intelligent Agents VIII, Agent Theories, Architectures, and Languages, 8th International Workshop, ATAL-2001, Seattle, WA, USA, Aug. 1-3, 2001, Revised papers	inproceedings	Yves Lesperance			
ShapiroLL02	The Cognitive Agents Specification Language and Verification Environment for multiagent systems	2002	Graph-Agent-LLM / Agentic AI	The First International Joint Conference on Autonomous Agents & Multiagent Systems, AAMAS 2002, July 15-19, 2002, Bologna, Italy, Proceedings	inproceedings	Steven Shapiro; Yves Lesperance; Hector J. Levesque	10.1145/544741.544746	https://doi.org/10.1145/544741.544746	
BelnapPX01	Facing the Future: Agents and Choices in our Indeterministic World	2001	Graph-Agent-LLM / Agentic AI	Oxford University Press	book	Nuel Belnap; Michel Perloff; Ming Xu			
ShapiroLL97	Specifying Communicative Multi-Agent Systems (Invited Paper)	1997	Graph-Agent-LLM / Agentic AI	Agents and Multi-Agent Systems Formalisms, Methodologies, and Applications, Based on the AI'97 Workshops on Commonsense Reasoning, Intelligent Agents, and Distributed Artificial Intelligence, Perth, Australia, December 1, 1997	inproceedings	Steven Shapiro; Yves Lesperance; Hector J. Levesque	10.1007/BFb0055016	https://doi.org/10.1007/BFb0055016	
hu2025self	A self-correcting Agentic Graph RAG for clinical decision support in hepatology	2025	GraphRAG / Retrieval-Augmented Generation	Frontiers in medicine	article	Hu, Yalan; Xuan, Wenjie; Zhou, Qingqing; Li, Zhi; Li, Ya; et al.			
edge2024graphrag	From Local to Global: A Graph RAG Approach to Query-Focused Summarization	2025	GraphRAG / Retrieval-Augmented Generation		misc	Darren Edge; Ha Trinh; Newman Cheng; Joshua Bradley; Alex Chao; et al.		https://arxiv.org/abs/2404.16130	
mavromatis2025gnn	GNN-RAG: Graph neural retrieval for efficient large language model reasoning on knowledge graphs	2025	GraphRAG / Retrieval-Augmented Generation	Findings of the Association for Computational Linguistics: ACL 2025	inproceedings	Mavromatis, Costas; Karypis, George			
peng2025graph	Graph retrieval-augmented generation: A survey	2025	GraphRAG / Retrieval-Augmented Generation	ACM Transactions on Information Systems	article	Peng, Boci; Zhu, Yun; Liu, Yongchao; Bo, Xiaohe; Shi, Haizhou; et al.			
li2025graphcodeagent	GraphCodeAgent: Dual Graph-Guided LLM Agent for Retrieval-Augmented Repo-Level Code Generation	2025	GraphRAG / Retrieval-Augmented Generation	arXiv preprint arXiv:2504.10046	article	Li, Jia; Shi, Xianjie; Zhang, Kechi; Li, Ge; Jin, Zhi; et al.			
yang2025graphsearch	GraphSearch: An Agentic Deep Searching Workflow for Graph Retrieval-Augmented Generation	2025	GraphRAG / Retrieval-Augmented Generation	arXiv preprint arXiv:2509.22009	article	Yang, Cehao; Wu, Xiaojun; Lin, Xueyuan; Xu, Chengjin; Jiang, Xuhui; et al.			
wu2025medical	Medical graph rag: Evidence-based medical large language model via graph retrieval-augmented generation	2025	GraphRAG / Retrieval-Augmented Generation	Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)	inproceedings	Wu, Junde; Zhu, Jiayuan; Qi, Yunli; Chen, Jingkun; Xu, Min; et al.			
edge2024graphrag	From Local to Global: A Graph RAG Approach to Query-Focused Summarization	2024	GraphRAG / Retrieval-Augmented Generation	arXiv preprint arXiv:2404.16130	article	Edge, Darren; Trinh, Ha; Cheng, Newman; Bradley, Joshua; Chao, Alex; et al.			
he2024gretriever	G-Retriever: Retrieval-Augmented Generation for Textual Graph Understanding and Question Answering	2024	GraphRAG / Retrieval-Augmented Generation	Advances in Neural Information Processing Systems	inproceedings	He, Xiaoxin; Tian, Yijun; Sun, Yifei; Chawla, Nitesh V.; Laurent, Thomas; et al.			
mavromatis2024gnn	Gnn-rag: Graph neural retrieval for large language model reasoning	2024	GraphRAG / Retrieval-Augmented Generation	arXiv preprint arXiv:2405.20139	article	Mavromatis, Costas; Karypis, George			
es2024ragas	RAGAS: Automated Evaluation of Retrieval Augmented Generation	2024	GraphRAG / Retrieval-Augmented Generation	Proceedings of the 18th Conference of the European Chapter of the Association for Computational Linguistics: System Demonstrations	inproceedings	Es, Shahul; James, Jithin; Espinosa-Anke, Luis; Schockaert, Steven			
tong2026gnn	GNN-LLM hybrid cognitive architectures for generative task adaptation in multi-human multi-robot collaborative disassembly	2026	Hybrid GNN-LLM / Graph Learning	Robotics and Computer-Integrated Manufacturing	article	Tong, Xiaodong; Li, Ke; Bao, Jinsong			
zhang2025can	Can large language models improve the adversarial robustness of graph neural networks?	2025	Hybrid GNN-LLM / Graph Learning	Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V. 1	inproceedings	Zhang, Zhongjian; Wang, Xiao; Zhou, Huichi; Yu, Yue; Zhang, Mengmei; et al.			
chen2025combining	Combining LLM Semantic Reasoning with GNN Structural Modeling for Multi-View Multi-Label Feature Selection	2025	Hybrid GNN-LLM / Graph Learning	arXiv preprint arXiv:2511.08008	article	Chen, Zhiqi; Liu, Yuzhou; Liu, Jiarui; Gao, Wanfu			
baghershahi2025gspell	From Nodes to Narratives: Explaining Graph Neural Networks with LLMs and Graph Context	2025	Hybrid GNN-LLM / Graph Learning		misc	Peyman Baghershahi; Gregoire Fournier; Pranav Nyati; Sourav Medya			
li2025hybrid	Hybrid-LLM-GNN: integrating large language models and graph neural networks for enhanced materials property prediction	2025	Hybrid GNN-LLM / Graph Learning	Digital Discovery	article	Li, Youjia; Gupta, Vishu; Kilic, Muhammed Nur Talha; Choudhary, Kamal; Wines, Daniel; et al.			
you2025large	Large language models meet graph neural networks: a perspective of graph mining	2025	Hybrid GNN-LLM / Graph Learning	Mathematics	article	You, Yuxin; Liu, Zhen; Wen, Xiangchao; Zhang, Yongtao; Ai, Wei			
duan2025llm	Llm-botguard: A novel framework for detecting llm-driven bots with mixture of experts and graph neural networks	2025	Hybrid GNN-LLM / Graph Learning	IEEE Transactions on Computational Social Systems	article	Duan, Jinglong; Li, Weihua; Bai, Quan; Nguyen, Minh; Wang, Xiaodan; et al.			
qiao2025login	Login: A large language model consulted graph neural network training framework	2025	Hybrid GNN-LLM / Graph Learning	Proceedings of the Eighteenth ACM International Conference on Web Search and Data Mining	inproceedings	Qiao, Yiran; Ao, Xiang; Liu, Yang; Xu, Jiarong; Sun, Xiaoqian; et al.			
zhu2024llm	LLM as GNN: Graph Vocabulary Learning for Graph Foundation Model	2024	Hybrid GNN-LLM / Graph Learning		article	Zhu, Xi; Xue, Haochen; Zhao, Ziwei; Jin, Mingyu; Xu, Wujiang; et al.			
wu2019simplifying	Simplifying graph convolutional networks	2019	Hybrid GNN-LLM / Graph Learning	International conference on machine learning	inproceedings	Wu, Felix; Souza, Amauri; Zhang, Tianyi; Fifty, Christopher; Yu, Tao; et al.			
kipf2016semi	Semi-supervised classification with graph convolutional networks	2016	Hybrid GNN-LLM / Graph Learning	arXiv preprint arXiv:1609.02907	article	Kipf, Thomas N; Welling, Max			
scarselli2008graph	The graph neural network model	2008	Hybrid GNN-LLM / Graph Learning	IEEE transactions on neural networks	article	Scarselli, Franco; Gori, Marco; Tsoi, Ah Chung; Hagenbuchner, Markus; Monfardini, Gabriele			
zhang2024gail	A gail fine-tuned llm enhanced framework for low-resource knowledge graph question answering	2024	Knowledge Graph Question Answering	Proceedings of the 33rd ACM International Conference on Information and Knowledge Management	inproceedings	Zhang, Zhiqiang; Wen, Liqiang; Zhao, Wen			
liu2024dual	Dual reasoning: A gnn-llm collaborative framework for knowledge graph question answering	2024	Knowledge Graph Question Answering	arXiv preprint arXiv:2406.01145	article	Liu, Guangyi; Zhang, Yongqi; Li, Yong; Yao, Quanming			
tao2024finqa	Finqa: A training-free dynamic knowledge graph question answering system in finance with llm-based revision	2024	Knowledge Graph Question Answering	Joint European Conference on Machine Learning and Knowledge Discovery in Databases	inproceedings	Tao, Wenbiao; Zhu, Hanlun; Tan, Keren; Wang, Jiani; Liang, Yuanyuan; et al.			
aggio2023graph	A Graph-Enhanced LLM-Based Question Answering System for the AI Act	2023	Knowledge Graph Question Answering		article	Aggio, Nicola			
an2023knowledge	Knowledge graph question answering for materials science (KGQA4MAT)	2023	Knowledge Graph Question Answering	Research Conference on Metadata and Semantics Research	inproceedings	An, Yuan; Greenberg, Jane; Uribe-Romo, Fernando J; Gomez-Gualdron, Diego A; Langlois, Kyle; et al.			
yang2026cti	CTI-Thinker: an LLM-driven system for CTI knowledge graph construction and attack reasoning	2026	LLM-Assisted Graph Construction / Knowledge Graphs	Cybersecurity	article	Yang, Xiuzhang; Zhong, Ruijie; Chen, Yuling; Peng, Guojun; Yao, Di; et al.			
ahn2026enriching	Enriching Semantic Profiles into Knowledge Graph for Recommender Systems Using Large Language Models	2026	LLM-Assisted Graph Construction / Knowledge Graphs	arXiv preprint arXiv:2601.08148	article	Ahn, Seokho; Shin, Sungbok; Seo, Young-Duk			
erlemann2026full	Full-Stack Knowledge Graph and LLM Framework for Post-Quantum Cyber Readiness	2026	LLM-Assisted Graph Construction / Knowledge Graphs	arXiv preprint arXiv:2601.03504	article	Erlemann, Rasmus; Morris, Charles Colyer; Sathe, Sanjyot			
yu2026graphpilot	GraphPilot: GUI Task Automation with One-Step LLM Reasoning Powered by Knowledge Graph	2026	LLM-Assisted Graph Construction / Knowledge Graphs	arXiv preprint arXiv:2601.17418	article	Yu, Mingxian; Luo, Siqi; Chen, Xu			
zhu2026knowpath	KnowPath: An LLM-Supported Knowledge Graph Construction and Path Finding Framework to Explainable MOOC Recommendations	2026	LLM-Assisted Graph Construction / Knowledge Graphs	ACM Transactions on Information Systems	article	Zhu, Jia; Chen, Zhangze; Meo, Pasquale De; Guan, Jueqi; Han, Zhongmei; et al.			
xiao2026reliable	Reliable reasoning path: Distilling effective guidance for llm reasoning with knowledge graphs	2026	LLM-Assisted Graph Construction / Knowledge Graphs	IEEE Transactions on Knowledge and Data Engineering	article	Xiao, Yilin; Zhou, Chuang; Zhang, Qinggang; Li, Bo; Li, Qing; et al.			
li2025approximate	Approximate Knowledge Graphs: Privacy-Preserving Healthcare Data Synthesis via LLM-Driven approximation	2025	LLM-Assisted Graph Construction / Knowledge Graphs	Proceedings of the ACM/IEEE International Conference on Connected Health: Applications, Systems and Engineering Technologies	inproceedings	Li, Shenglin; Gong, Jiaqi; Ramirez Molina, Abel Andres			
sun2025docs2kg	Docs2KG: A Human-LLM Collaborative Approach to Unified Knowledge Graph Construction from Heterogeneous Documents	2025	LLM-Assisted Graph Construction / Knowledge Graphs	Companion Proceedings of the ACM on Web Conference 2025	inproceedings	Sun, Qiang; Luo, Yuanyi; Zhang, Wenxiao; Li, Sirui; Li, Jichunyang; et al.			
park2025synergistic	Synergistic joint model of knowledge graph and llm for enhancing xai-based clinical decision support systems	2025	LLM-Assisted Graph Construction / Knowledge Graphs	Mathematics	article	Park, Chaelim; Lee, Hayoung; Lee, Seonghee; Jeong, Okran			
gubanov2024cancerkg	Cancerkg. org-a web-scale, interactive, verifiable knowledge graph-llm hybrid for assisting with optimal cancer treatment and care	2024	LLM-Assisted Graph Construction / Knowledge Graphs	Proceedings of the 33rd ACM International Conference on Information and Knowledge Management	inproceedings	Gubanov, Michael; Pyayt, Anna; Karolak, Aleksandra			
